,x_interp,y_interp
0,0.0,2.8
1,1.0,2.9
2,1.9,3.0
3,2.9,3.1
4,3.9,3.2
5,4.8,3.3
6,5.8,3.3
7,6.7,3.4
8,7.7,3.5
9,8.7,3.6
10,9.6,3.7
11,10.6,3.8
12,11.6,3.9
13,12.5,4.0
14,13.5,4.1
15,14.4,4.2
16,15.4,4.4
17,16.4,4.7
18,17.3,5.0
19,18.3,5.3
20,19.3,5.5
21,20.2,5.8
22,21.2,6.1
23,22.1,6.4
24,23.1,6.7
25,24.1,7.0
26,25.0,7.3
27,26.0,7.6
28,27.0,7.9
29,27.9,8.2
30,28.9,8.5
31,29.9,8.8
32,30.8,9.1
33,31.8,9.4
34,32.7,9.7
35,33.7,10.0
36,34.7,10.3
37,35.6,10.5
38,36.6,10.8
39,37.6,11.1
40,38.5,11.3
41,39.5,11.6
42,40.4,11.8
43,41.4,12.0
44,42.4,12.2
45,43.3,12.4
46,44.3,12.6
47,45.3,12.7
48,46.2,12.9
49,47.2,13.1
50,48.1,13.3
51,49.1,13.5
52,50.1,13.7
53,51.0,13.9
54,52.0,14.1
55,53.0,14.3
56,53.9,14.5
57,54.9,14.7
58,55.9,14.9
59,56.8,15.1
60,57.8,15.4
61,58.7,15.6
62,59.7,15.8
63,60.7,16.0
64,61.6,16.2
65,62.6,16.4
66,63.6,16.6
67,64.5,16.8
68,65.5,17.0
69,66.4,17.2
70,67.4,17.4
71,68.4,17.5
72,69.3,17.7
73,70.3,17.8
74,71.3,18.0
75,72.2,18.1
76,73.2,18.3
77,74.2,18.4
78,75.1,18.5
79,76.1,18.7
80,77.0,18.8
81,78.0,19.0
82,79.0,19.1
83,79.9,19.3
84,80.9,19.7
85,81.9,20.1
86,82.8,20.5
87,83.8,20.9
88,84.7,21.3
89,85.7,21.7
90,86.7,22.1
91,87.6,22.4
92,88.6,22.7
93,89.6,23.0
94,90.5,23.3
95,91.5,23.5
96,92.4,23.8
97,93.4,24.1
98,94.4,24.4
99,95.3,24.7
100,96.3,25.0
101,97.3,25.2
102,98.2,25.5
103,99.2,25.8
104,100.2,26.1
105,101.1,26.4
106,102.1,26.7
107,103.0,26.9
108,104.0,27.2
109,105.0,27.5
110,105.9,27.7
111,106.9,28.0
112,107.9,28.3
113,108.8,28.5
114,109.8,28.8
115,110.7,29.0
116,111.7,29.2
117,112.7,29.4
118,113.6,29.6
119,114.6,29.9
120,115.6,30.1
121,116.5,30.3
122,117.5,30.5
123,118.4,30.7
124,119.4,30.8
125,120.4,31.0
126,121.3,31.2
127,122.3,31.4
128,123.3,31.6
129,124.2,31.8
130,125.2,31.9
131,126.2,32.1
132,127.1,32.3
133,128.1,32.5
134,129.0,32.7
135,130.0,32.8
136,131.0,32.9
137,131.9,33.1
138,132.9,33.2
139,133.9,33.4
140,134.8,33.5
141,135.8,33.6
142,136.7,33.8
143,137.7,33.9
144,138.7,34.1
145,139.6,34.2
146,140.6,34.4
147,141.6,34.5
148,142.5,34.8
149,143.5,35.1
150,144.4,35.4
151,145.4,35.7
152,146.4,36.0
153,147.3,36.3
154,148.3,36.7
155,149.3,37.0
156,150.2,37.3
